material_id,formula,band_gap,elements,nelements,nsites,volume,density,formation_energy_per_atom,energy_above_hull,is_stable
mp-6557,Cs2PO3F,4.402,"['Cs', 'F', 'O', 'P']",4,28,616.9337049886938,3.916615382373161,-2.750158234493316,0.0,True
mp-505782,Cs2SO4,5.0172,"['Cs', 'O', 'S']",3,28,564.5767870882778,4.257384326167216,-2.257878981687192,0.0,True
mp-562442,Cs2SeO4,3.8216,"['Cs', 'O', 'Se']",3,28,610.5361744897551,4.44708175577736,-1.804141575950585,0.0,True
mp-1182737,Cs2Si(S2O7)3,5.269699999999999,"['Cs', 'O', 'S', 'Si']",4,180,3060.360231488617,2.676974617256466,-1.9830642111436791,0.0,True
mp-562345,Cs2Si2O5,4.2397,"['Cs', 'O', 'Si']",3,72,1366.6799203475407,3.907288983783658,-2.8887057679789288,0.0,True
mp-554359,Cs2Si3SnO9,3.7921,"['Cs', 'O', 'Si', 'Sn']",4,60,1015.3833730861128,4.008463717729202,-2.869980218954024,0.0,True
mp-1226151,Cs2SiB4O9,4.798571170378892,"['B', 'Cs', 'O', 'Si']",4,16,234.8002430650444,3.4026518065126066,-2.868871022561064,0.0,True
mp-505734,Cs2SiO3,3.4153,"['Cs', 'O', 'Si']",3,72,1553.6341060291168,4.385042873554303,-2.605466210162837,0.0,True
mp-697078,Cs2SiP4(HO7)2,5.1811,"['Cs', 'H', 'O', 'P', 'Si']",5,46,698.8825957845897,3.0593215090231456,-2.568855413060076,0.0,True
mp-1019609,Cs2Sr2Li3B3(PO4)6,5.6029,"['B', 'Cs', 'Li', 'O', 'P', 'Sr']",6,160,2135.9127315026903,3.30919487844594,-2.9018002958041875,0.0,True
mp-14355,Cs2SrP2O7,4.8535,"['Cs', 'O', 'P', 'Sr']",4,24,434.2369638371808,4.033399190455711,-2.9025204757163383,0.0,True
mp-1215093,Cs2TeH6SeO10,3.3133,"['Cs', 'H', 'O', 'Se', 'Te']",5,80,1100.5818241673517,3.8529037924845935,-1.4995173539159992,0.0,True
mp-614803,Cs2TeO3,3.5352,"['Cs', 'O', 'Te']",3,12,319.36056887073374,4.590279036818397,-1.826989690162836,0.0,True
mp-561647,Cs2TeOF4,5.0319,"['Cs', 'F', 'O', 'Te']",4,16,376.6909793317863,4.279540588685765,-2.6115474819971265,0.0,True
mp-14864,Cs2Ti(PO4)2,3.4477,"['Cs', 'O', 'P', 'Ti']",4,52,980.1107395389018,3.4130091412705093,-2.8963478428407226,0.0,True
